date,id,interview_type,outcome,round_number
2026-08-04,INT-2acb4fbd-fbff-4a7d-b2f5-b1762c41cbd3,Technical,Pass,1
2026-08-16,INT-aee14f87-fcff-49e3-940f-f5896c624c2c,Technical,Borderline,2
2026-08-10,INT-51db1a37-4204-4733-9855-0b1ed5881c1c,Behavioral,Fail,3
2026-08-26,INT-db4bb8eb-537d-4bd1-8d53-6c7565b90e94,Hiring Manager,Pass,4
2026-08-02,INT-c7903dc5-900c-4af7-9b0a-e22eecc817a6,Panel,Borderline,1
2026-08-07,INT-9bd0d4c7-9e45-455e-a4d3-875167294d3c,Behavioral,Fail,1
2026-08-18,INT-bee975da-0c9e-4550-bcd1-ff3fb0c58278,Panel,Fail,2
2026-08-19,INT-4d950273-cb2c-4805-9140-3430567e642e,Panel,Fail,3
2026-08-03,INT-ca9f1d59-83e8-4700-8e63-813ed22e3226,Behavioral,Fail,1
2026-08-04,INT-86379f04-d9ee-4dc9-87cf-eca822b9f24c,Technical,Pass,2
2026-08-28,INT-08775804-3fde-4814-8ec0-ad4bd6441a9d,Behavioral,Fail,3
2026-08-05,INT-e4fd6c34-d670-4a21-a9dc-073e5820b3f2,Behavioral,Fail,1
2026-08-10,INT-da9408c0-29b4-4cb1-8cb5-ee5c62f5f7c2,Technical,Borderline,2
2026-08-25,INT-a6ce6d7a-44e2-494b-b4ec-5264ad7d6f81,Behavioral,Borderline,3
2026-08-07,INT-8548867b-ad5c-4a24-8d59-616b7779857f,Behavioral,Pass,1
2026-08-12,INT-9beab529-9801-4a2f-a5b8-36938fbba749,Panel,Borderline,2
2026-08-07,INT-e82b5b36-4269-428c-8bac-bedfff5a229e,Hiring Manager,Fail,1
2026-08-10,INT-fea82e3a-b544-41cb-9541-0a9d090aaa93,Panel,Borderline,2
2026-08-28,INT-a36884f5-88dd-4880-afb2-8b3d38eccb4d,Panel,Borderline,3
2026-08-18,INT-a8596f8c-d734-48fe-ab84-3ef3d86d655d,Panel,Pass,4
2026-08-03,INT-55273407-7cd2-492f-94b0-0f62c768b07f,Panel,Borderline,1
2026-08-08,INT-359a1533-4605-4c0e-b3b9-c2ac0134e76b,Technical,Fail,2
2026-08-05,INT-80daa8ca-6230-4d27-9a4b-160621019bff,Technical,Pass,1
2026-08-14,INT-74b79620-4a73-40bf-b2ce-7eeb4c56fb8f,Hiring Manager,Borderline,2
2026-08-22,INT-7d7c59a5-e6c1-4650-bf02-f5b057bd56c9,Technical,Pass,3
2026-08-02,INT-a976dc4d-0c47-4187-bea3-5d37980b6853,Behavioral,Pass,1
2026-08-05,INT-1e23da4b-9e21-441f-b801-102682f73861,Behavioral,Pass,1
2026-08-06,INT-4a629c5e-da2c-4852-8a19-0939dfc7ab26,Panel,Fail,1
2026-08-04,INT-c219a845-d9eb-404c-9851-d1cf1dabb10a,Behavioral,Pass,2
2026-08-08,INT-6676cc75-6699-4af5-9d24-181c2ed087d4,Panel,Fail,1
2026-08-08,INT-e2d903c8-a61a-4d8e-abf7-240fccc62fed,Behavioral,Pass,2
2026-08-10,INT-28ce231e-d827-4fc3-b145-8426fb481ded,Hiring Manager,Borderline,3
2026-08-08,INT-282c6470-ef32-472a-a4b5-c72302fb2869,Hiring Manager,Pass,1
2026-08-01,INT-a7437402-bec7-4b11-bf53-dc0afb0d3cda,Behavioral,Fail,1
2026-08-08,INT-8f660bbd-54fc-486f-b457-7d47d8253010,Panel,Borderline,1
2026-08-10,INT-a8ae57b9-c262-4ad0-98f1-a1e41d30a290,Behavioral,Fail,2
2026-08-03,INT-ebd14b0c-c7f4-44f9-8222-1ad3eca391d4,Technical,Borderline,1
2026-08-14,INT-99bd6240-a853-4961-a32d-03021a82833c,Hiring Manager,Fail,2
2026-08-19,INT-57c5982c-f6ae-40e8-a5da-ced0460a6125,Hiring Manager,Pass,3
2026-08-26,INT-e2ed8686-b334-42cb-9a3f-0ad169a9aff9,Panel,Borderline,4
2026-08-07,INT-aacad101-f153-4f68-9215-583a9532caba,Panel,Fail,1
2026-08-08,INT-6180b78a-0678-4c34-9b41-a61e85d1a1ef,Behavioral,Borderline,2
2026-08-13,INT-c918a346-c00c-400c-8458-b006332cce0a,Panel,Borderline,3
2026-08-26,INT-b0cad2eb-0fe1-421a-96e1-ba00257c54bc,Technical,Borderline,4
2026-08-02,INT-bc2e2b59-2c7d-4667-b664-c7202fddb26a,Hiring Manager,Pass,1
2026-08-07,INT-6a7a7841-28cc-412a-8150-e0c9c948384b,Behavioral,Fail,1
2026-08-01,INT-c08bd674-d2dd-4e26-8fb3-a134ff2336e9,Behavioral,Borderline,1
2026-08-10,INT-a46b6fce-e78d-447c-bd87-703472173fa3,Behavioral,Borderline,2
2026-08-10,INT-f1eab64a-cbd4-41cc-aa7a-8c2161a1a29c,Hiring Manager,Fail,3
2026-08-30,INT-d275bd43-8451-4303-a94d-4fbe06531d47,Hiring Manager,Fail,4
2026-08-07,INT-6789e7d0-a155-4b2c-b37c-f8b563561add,Panel,Pass,1
2026-08-06,INT-01829782-88ea-47d4-9e49-4952ac5d4e57,Behavioral,Borderline,2
2026-08-19,INT-1b2bb2ec-80b9-4c30-ad94-898b5b923c67,Panel,Borderline,3
2026-09-03,INT-700b8b43-ed3b-4d13-83e9-0323481186e9,Hiring Manager,Borderline,4
2026-08-07,INT-929daf9f-0149-42af-8ab1-a5041f8c56e0,Behavioral,Fail,1
2026-08-14,INT-b9d707a9-e74e-40b3-bdce-635fbf905d6a,Technical,Fail,2
2026-08-06,INT-31891f48-e66e-4c11-91de-febf9e98961d,Hiring Manager,Fail,1
2026-08-08,INT-b18678ce-4e40-4fba-a8cf-e5899dc89e1a,Panel,Fail,2
2026-08-16,INT-3f05557c-502e-4818-813c-a9982b2bf58c,Hiring Manager,Fail,3
2026-08-04,INT-67b6e467-9432-4797-94f6-c67ad0095507,Behavioral,Borderline,1
2026-08-03,INT-f6c8b8b9-d915-4664-bd27-4ad5a9a54c24,Technical,Fail,1
2026-08-06,INT-34ef2552-ab28-4d09-8af5-7e603be8a5df,Hiring Manager,Fail,1
2026-08-14,INT-fb07ee93-0a37-41ab-8be3-534ae1ad640c,Behavioral,Borderline,2
2026-08-13,INT-94213090-4368-4e93-bded-cb7ad5ba304c,Hiring Manager,Borderline,3
2026-08-03,INT-709d338b-2393-4d45-a1cc-ff0d8078636d,Technical,Pass,1
2026-08-03,INT-ec257a75-421d-4dca-aa95-59080e503fd8,Hiring Manager,Borderline,1
2026-08-12,INT-a9681fc1-ba5c-465d-b834-4070e0e5f6e5,Behavioral,Pass,2
2026-08-02,INT-21d8b96a-62ad-4157-a0d2-759a3ad51382,Behavioral,Pass,1
2026-08-08,INT-3abf9c65-6dd0-43f3-87a2-0e22b298b811,Hiring Manager,Fail,1
2026-08-01,INT-b58ac738-0166-4221-b063-ae7f41ff81d1,Behavioral,Borderline,1
2026-08-14,INT-b0117b0a-3496-41d6-a790-55b06001f54d,Hiring Manager,Fail,2
2026-08-19,INT-95dad216-a6cd-4e3c-ad13-0705279f91ab,Panel,Borderline,3
2026-09-03,INT-468b22af-9ca4-464d-9d9a-d9f1908e3a95,Technical,Fail,4
2026-08-02,INT-cdeb2696-015a-4a1d-a2c8-cf62f6ee137d,Technical,Fail,1
2026-08-14,INT-38c5ef5e-4359-4f43-9067-93b61690636b,Behavioral,Borderline,2
2026-08-25,INT-fc04ca7a-ee41-4f16-a263-307cb9787c4b,Panel,Borderline,3
2026-09-07,INT-2cde9187-d1fa-42a6-860b-340cf21a6f38,Hiring Manager,Pass,4
2026-08-06,INT-ea3e072a-8f22-4604-946b-7756b9e439ef,Panel,Fail,1
2026-08-16,INT-746b161a-31cc-4738-b68a-e9b79b3aa1d1,Behavioral,Fail,2
2026-08-10,INT-8f026c2c-1b41-4999-8198-d1f56839f98f,Panel,Fail,3
2026-08-07,INT-114b3c79-4200-49f5-9dc3-c26e7b62659e,Technical,Borderline,1
2026-08-05,INT-37f3f32b-5a81-462a-9059-f77b79ff89d9,Technical,Borderline,1
2026-08-10,INT-7fbe6bb3-30ae-412d-a8f1-0194ee25356a,Technical,Borderline,2
2026-08-08,INT-6c5540f0-cc9c-441c-8696-99010ddca788,Behavioral,Borderline,1
2026-08-08,INT-c6a1a468-afb3-43ad-9c43-2ed564caa1c7,Hiring Manager,Pass,2
2026-08-04,INT-21925613-9247-4851-ae0d-38607362f9b7,Behavioral,Borderline,1
2026-08-16,INT-6ea5e341-8e2a-43ff-bc5d-ba42cdd8af09,Technical,Pass,2
2026-08-13,INT-027e789c-ce40-483b-b915-ad7e2648c819,Hiring Manager,Fail,3
2026-08-04,INT-adf9568b-de0b-4e18-99e1-10eb1f096b9d,Technical,Fail,1
2026-08-18,INT-7ccc63de-82ac-4e1d-ac56-5da653391df4,Behavioral,Fail,2
2026-08-13,INT-2514c7ce-f4e3-4f7b-a1b7-e3d876b874d3,Panel,Fail,3
2026-08-18,INT-1440adec-1243-4b0f-a835-f080d9518f98,Panel,Pass,4
2026-08-02,INT-8623bc74-65a2-4cc8-855b-e95d06bfd9c4,Behavioral,Fail,1
2026-08-03,INT-f833ebfb-2296-43f1-b1e1-5b9f8c6d768e,Hiring Manager,Borderline,1
2026-08-12,INT-6f5aad52-9061-498f-a096-521ea2c723d4,Panel,Fail,2
2026-08-19,INT-711dc1dd-16ed-4330-8e01-54133a2516fe,Panel,Fail,3
